x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,t1,t2
0.813157894736842,0.146245059288538,0.513368983957219,0.319587628865979,0.271739130434783,0.420689655172414,0.440928270042194,0.245283018867925,0.365930599369085,0.31740614334471,0.000761993108932,0.567765567765568,0.714693295292439,1,-1
0.644736842105263,0.183794466403162,0.684491978609626,0.61340206185567,0.206521739130435,0.558620689655172,0.160337552742616,0.735849056603773,0.593059936908517,0.893344709897611,9.93904055128545E-05,0.186813186813187,0.243937232524964,-1,-1
0.560526315789474,0.559288537549407,0.422459893048128,0.536082474226804,0.347826086956522,0.179310344827586,0.044303797468355,0.566037735849057,0.280757097791798,0.232081911262799,0.000132520540684,0.15018315018315,0.393723252496434,-1,-1
0.368421052631579,0.156126482213439,0.497326203208556,0.561855670103093,0.173913043478261,0.606896551724138,0.592827004219409,0.490566037735849,0.429022082018927,0.226962457337884,0.000231910946197,0.575091575091575,0.052781740370899,-1,1
0.786842105263158,0.185770750988142,0.454545454545455,0.278350515463918,0.282608695652174,0.575862068965517,0.419831223628692,0.245283018867925,0.495268138801262,0.291808873720136,0.000618429189858,0.84981684981685,0.539942938659059,1,-1
0.276315789473684,0.215415019762846,0.513368983957219,0.407216494845361,0.119565217391304,0.213793103448276,0.244725738396624,0.735849056603773,0.38801261829653,0.095563139931741,0.000662602703419,0.366300366300366,0.144079885877318,-1,1
0.342105263157895,0.049407114624506,0.315508021390374,0.216494845360825,0.717391304347826,0.317241379310345,0.318565400843882,0.415094339622641,0.741324921135647,0.180887372013652,0.000640515946638,0.380952380952381,0.336661911554922,-1,1
0.1,0,0.609625668449198,0.536082474226804,0.195652173913043,0.517241379310345,0.352320675105485,0.547169811320755,0.324921135646688,0.15358361774744,0.0006846894602,0.380952380952381,0.111269614835949,-1,1
0.26578947368421,0.703557312252964,0.545454545454546,0.587628865979382,0.108695652173913,0.386206896551724,0.29746835443038,0.547169811320755,0.296529968454259,0.112627986348123,0.0003423447301,0.476190476190476,0.215406562054208,-1,1
0.713157894736842,0.183794466403162,0.475935828877005,0.298969072164948,0.521739130434783,0.558620689655172,0.540084388185654,0.150943396226415,0.381703470031546,0.389931740614334,0.000485908649174,0.706959706959707,0.557774607703281,1,-1
0.213157894736842,0.029644268774704,0.6524064171123,0.381443298969072,0.260869565217391,0.420689655172414,0.394514767932489,0.169811320754717,0.61198738170347,0.151023890784983,0.0003423447301,0.663003663003663,0.172610556348074,-1,1
0.839473684210526,0.642292490118577,0.614973262032086,0.134020618556701,0.630434782608696,0.696551724137931,0.569620253164557,0.132075471698113,0.526813880126183,0.325938566552901,0.000452778514003,0.827838827838828,0.343794579172611,1,-1
0.807894736842105,0.25296442687747,0.556149732620321,0.422680412371134,0.358695652173913,0.610344827586207,0.544303797468354,0.358490566037736,0.621451104100946,0.419795221843003,0.000651559325029,0.542124542124542,0.557774607703281,1,-1
0.671052631578947,0.363636363636364,0.711229946524064,0.716494845360825,0.380434782608696,0.196551724137931,0.105485232067511,0.490566037735849,0.356466876971609,0.629692832764505,0.000287127838148,0.194139194139194,0.336661911554922,-1,-1
0.744736842105263,0.152173913043478,0.700534759358289,0.742268041237114,0.173913043478261,0.679310344827586,0.531645569620253,0.150943396226415,0.460567823343849,0.179180887372014,0.000971817298348,0.692307692307692,0.094151212553495,-1,1
0.457894736842105,0.531620553359684,0.331550802139037,0.278350515463918,0.108695652173913,0.224137931034483,0.191983122362869,0.566037735849057,0.132492113564669,0.180887372013652,0.000242954324587,0.311355311355311,0.067047075606277,-1,1
0.76578947368421,0.195652173913043,0.486631016042781,0.350515463917526,0.41304347826087,0.655172413793103,0.675105485232067,0.358490566037736,0.526813880126183,0.650170648464164,0.00070677621698,0.67032967032967,0.700427960057061,1,-1
